banned_addresses,ban_time,tx
0xc8a65fadf0e0ddaf421f28feab69bf6e2e589963,10/08/21 13:40,https://etherscan.io/tx/0x023343f2d09b97f4db3eab702f3e8578d2af869a75dbc97ab5d971d7eac42fd2
0xe16ea22554b5a99457abfbb79bdc18e3221a00a0,05/08/21 16:28,https://etherscan.io/tx/0x6250833e015dfc04449137b186dfbfffcafb8411f5a79a3be0dd2547cde75de6
0x881d40237659c251811cec9c364ef91dc08d300c,05/08/21 16:27,https://etherscan.io/tx/0xf678198e4cdb85680daba0bb940645ee230c1544ed09c2615fcd311c6b164e71
0xbca3ab082206c053e9133236fd58b530000eda22,05/08/21 16:25,https://etherscan.io/tx/0x513bda4126638762a2fe6e55f9567312c889bc9dc34f9c76d74b623d937c5988
0x1723eb6c8fb98d2678ed186c48db11bbd12a80eb,05/08/21 16:25,https://etherscan.io/tx/0x6612d8a4f6d8f45ffdb878353a66c40193a8f82f5a0c897319065472cfad0d2c
0xaec82edfdae51ec06407fb459cf7465427f24212,05/08/21 16:11,https://etherscan.io/tx/0x6c91deb46092962fdad5688bc1481f8cc1fbd150b6ced6fc9eb976c863a97c42
0x6f9aeec6e3e74025d5a58a25ef5d6bc4757c9dba,05/08/21 16:11,https://etherscan.io/tx/0x60b26eca9f55816cf42c5ae67c7b836d3325f9b3f5b636e9a21f51880969d1ff
0x48badfa52ec26d335e775e2c9587e023e9990260,05/08/21 16:10,https://etherscan.io/tx/0x935f5afaed90ed1c994dbc8f599a58c60809b9b7d8ab3d7b25124fc7a5b873b0
0x77844fc0be83bb8e88c60b44c1281c5055f5e83a,05/08/21 16:09,https://etherscan.io/tx/0x5d10551280c548fe687b2e0e7804630bbe00bc299523e3996e2847ece3744b87
0xf9e80a5f300944bfedf2816cbe72b1981c6c5ee2,05/08/21 16:09,https://etherscan.io/tx/0x1769452cd6460fbab71edf9b8ec12cc1e8a2709a123b6d67b8f57dab3fbf5383
0x1faf4344beaf9c90f9ed2cd2fdae0128063e6ae5,05/08/21 16:07,https://etherscan.io/tx/0x6c30205ed6eeae635a30651c2358f9e403c5be0dec5e8d1b20f3d43ffea6b5f7
0x11b0cbad1eb39f14d934be986b590f3e663978e6,28/07/21 20:41,https://etherscan.io/tx/0xfe441350d1e7d57b3aec3b41ac8852391e5ac8d5b880e52e9f1d7d465ea78256
0x4e6d4f64f0a72e54f43b148706e85a1a0f7c7b06,28/07/21 17:19,https://etherscan.io/tx/0x4aab7808f615d8bb293fd6b555f761cfeb180460b434f25a26026ecdc8d74091
0x941a9e3b91e1cc015702b897c512d265fae88a9c,23/07/21 14:17,https://etherscan.io/tx/0x15e6f98d8d5b56dfa3977d37f72a9f4265b8d27ef13f52c8c397aef9ac2e1e89
0xcb55cdf44032cfa3e48610749bd60b89fc90dc9d,23/07/21 14:16,https://etherscan.io/tx/0xeb236e2cf608376309faae0169ae3ca530b8c55ddf74b94898981213b7d7b145
0xeda5066780de29d00dfb54581a707ef6f52d8113,13/07/21 18:36,https://etherscan.io/tx/0x683c333ff1ca151e2ed4c3d33ebcbd37843795b775158c6e54160c557650e79d
0xa6424dcbc756427724e9ab24b9ef41524b07d4f5,12/07/21 20:30,https://etherscan.io/tx/0xd1317faa26f02e4558f66a95032bdcd5993a422c8fc75a0cf4ccc278412e8f94
0x4de23f3f0fb3318287378adbde030cf61714b2f3,11/07/21 17:49,https://etherscan.io/tx/0x6e778402b3542b24654ee1ec785295fb8f89d2f72860c24f665b0db894946a7d
0x05b49f435c1eacb0c618b5d13cadad28ad34209a,11/07/21 17:49,https://etherscan.io/tx/0x68cd733939e66374e2d0ee808395039c8de6ba465489e0a6af2009ca2253410b
0xeb963da0ea2d53bfb930edc76f994fca2de7fe5f,11/07/21 17:48,https://etherscan.io/tx/0xf4145938a7fad0f8d0359e97a79e3ffbe08ffbd1e3f8d75c47befcb7c7baf30f
0xd8d2b364ac240297e85c16523ad29b6eb2a56e2b,11/07/21 17:48,https://etherscan.io/tx/0x89bf78881eb1905d6d23e990aaa87a76e644d09672734aa6ad84ad6e7b742a01
0x459ce908b9dd5d430a386f18f49b521bba4920cd,11/07/21 17:48,https://etherscan.io/tx/0x2a12b4986119e606958c259d622d2920480b3eaf4707e0bda7526ed7672da0b7
0xbb821eee8a84b99a1c88c93913b34895c47d9911,08/07/21 10:48,https://etherscan.io/tx/0x41d705913d4238c03b1f19c1b9e9679a007400815b05d679218248b7b159b449
0x024461600cca3b7746ae389088f1d5c06b5e90b5,08/07/21 10:48,https://etherscan.io/tx/0xc4693885b07fd1ac83f6d5117a2e4583c632c7915b9a9a72089463c16ab63e7e
0x0f18647467de7b885fe1bf77a78e12e19c814ad7,23/06/21 16:38,https://etherscan.io/tx/0xbfb81347b0a4b59f87063632e056c2d9c8858097fe23576d3353912af1a587f0
0xe350708b71243ccd55cdd18833cdee5051ee378e,23/06/21 16:38,https://etherscan.io/tx/0x4a97980dba3558d16bbf476484786eb8b2b7fe14a941e1b4faf0ef34ba5a5d96
0xec046b20d26aedcaad476e21f22feb00ca0ced5d,23/06/21 16:37,https://etherscan.io/tx/0x86c1ef1c9645f9716272ac72c681afbfadff7309273e6d7c1e01a1faef763d19
0xf6025dfb3dfeed189d50842dac84dc3939b14b20,23/06/21 16:36,https://etherscan.io/tx/0x206691d35c14670dc7226dc5b0f8256107853c560cb3459ff77a8a4acd2b438a
0x060c676d9bd33d4eb944f3b6c19b3ac9eaa9ef66,23/06/21 16:36,https://etherscan.io/tx/0x598c6ff50b159451850b216b17c465ec856218557a0292684d62cd6539f4670a
0x79f81fcd0d59876b40fbe1a44cf783e150fbc811,23/06/21 16:36,https://etherscan.io/tx/0x216b6aae1c05cd2e19324c91ce5a5ecad1d9143ee88b457f837e6009a72de6f8
0x270e7b73aba8232b2dbfed6b4667b13f8bd868a0,16/06/21 18:05,https://etherscan.io/tx/0xe54d61f5af034b6841d361f205a01834a23a83d11eefe3f742d8473155a2878f
0xf9ac9aa10c2b98e8033030691cc2b37fc10b4342,14/06/21 15:33,https://etherscan.io/tx/0x6362e98c06a4437c4497f53cfea4a2d8f1eec04227bcdf5e0ca4618679258a9d
0x5291da2bd63ca984323877be35135f98ee164117,14/06/21 15:32,https://etherscan.io/tx/0x71c85fa7a572dbac28917534fe18aba4805ab3466856624cec2b741ca5596bf1
0xb0c5f3100a4d9d9532a4cfd68c55f1ae8da987eb,07/06/21 18:47,https://etherscan.io/tx/0xa7c319feb6cf651b15ed9b6f2e9b1b0b75fa1b4bfcd785f14b97230571a4699b
0x9ec2c3add938bdd63fd369afc2800595f69ba00d,07/06/21 16:37,https://etherscan.io/tx/0xadae9188effbdb608fb6e14fdb0dfce198a5ef2e060edcbe9c6ee375b5e282f2
0x735ebe3ed47877a11023b904054a0ffe44e91ab7,07/06/21 16:37,https://etherscan.io/tx/0xd23f198525eca09c657557c32b1ffcd8750dbe30b7fa2f59c45c72870ed3eeb2
0xb78d1edfed9c93d7effd396f95997483f60b869e,07/06/21 16:35,https://etherscan.io/tx/0x49c7064563f8c76dd53a76f31d539d5fb8d2478b1f7a2d50b23f8a51d9285836
0xe8f762f264a2d4f0c6f3b6f0b3c1926a67962b2f,07/06/21 16:20,https://etherscan.io/tx/0xda515e9f2cd0c4709e65aa82605497c3d82068f4d157442dbf654df2e24a546e
0x7a6d37d7637a4ae334a8bec5a3ae414460c4ff5b,07/06/21 15:56,https://etherscan.io/tx/0x787de0c82de2f1b9ddc22766d0bce402098624c66775c8f2c77b840574892243
0x2a4f9e8a8071adf0b6be883644c4f4910c3d1c30,07/06/21 15:47,https://etherscan.io/tx/0xdef66ecf2768e077777d43b176370b33068b3a7f3f66bda81112f50469d42017
0xf6ec8d867a227ff5f84761407da1f85826c17797,07/06/21 15:45,https://etherscan.io/tx/0xa6c171d4c7f763605405e6bdd9784be172e473a194676bc296cf3c9bc550d76b
0x4cd1761af5c771fb4046ed0f6ed39239f466f63b,07/06/21 15:44,https://etherscan.io/tx/0x72a69c83bdf65a0197786d615582695c24560a3a199a55e2a27d6e4d86f28174
0x8e80b88620e0a2395a46a5fa639e19cb0c493974,07/06/21 15:42,https://etherscan.io/tx/0x59cae209b58f8b105c89045b6d9a4d830c0ff490965b647dd40737c0e5a64ce4
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,07/06/21 15:42,https://etherscan.io/tx/0x88392b45dcf6a8acc482b8daa675d40094101b1d6bc24640b0a9d889c9600d48
0xdceebcc35ef57dc33d35895f3940e0b3f68353aa,07/06/21 15:41,https://etherscan.io/tx/0x7e2d2f42be2da4de8ffbeccb777de15f6c06e581280d578de1fe43296cd008b4
0xc6bc4d60f83508c933cafaec515a8f4fa7776ac3,07/06/21 15:40,https://etherscan.io/tx/0x9206b8b62bfb1e52089598580ce87d7cb7e31cedf10d3a0073369d6cbc30561a
0x61b56d3c0cd91e52382600f9014c0634d7d87434,07/06/21 15:39,https://etherscan.io/tx/0xf00e2387f6d06e79a2666ad22be96e3ab4072f0c061d7315a2b03af21c811e7a
0x19bd896186bdc727afa03b8ac8516939d95f9da9,07/06/21 15:38,https://etherscan.io/tx/0x030cc6caa945e9acafe12c6f306b0bfcf03f9fd508cda8dcf8ec30086eb4c3fb
0x657b83a0336561c8f64389a6f5ade675c04b0c3b,07/06/21 15:37,https://etherscan.io/tx/0x2957facb719e8892900340c663f1e07ecc2b01b460a1a7f77e321b6edc3fb739
